1-qid,two_realRank,State,map_AdaRank,map_AdaRank_rerank,map_AdaRank_x,map_LambdaMART,map_LambdaMART_rerank,map_LambdaMART_x,map_LambdaRank,map_LambdaRank_rerank,map_LambdaRank_x,map_ListNet,map_ListNet_rerank,map_ListNet_x,map_MART,map_MART_rerank,map_MART_x,map_RankBoost,map_RankBoost_rerank,map_RankBoost_x,map_RankNet,map_RankNet_rerank,map_RankNet_x,map_coordinate_ascent,map_Cord.Ascent_rerank,map_coordinate_ascent_x,map_linear_regression,map_Lin.Regression_rerank,map_linear_regression_x,map_random_forest,map_Rand.Forest_rerank,map_random_forest_x,ndcg10_AdaRank,ndcg10_AdaRank_rerank,ndcg10_AdaRank_x,ndcg10_LambdaMART,ndcg10_LambdaMART_rerank,ndcg10_LambdaMART_x,ndcg10_LambdaRank,ndcg10_LambdaRank_rerank,ndcg10_LambdaRank_x,ndcg10_ListNet,ndcg10_ListNet_rerank,ndcg10_ListNet_x,ndcg10_MART,ndcg10_MART_rerank,ndcg10_MART_x,ndcg10_RankBoost,ndcg10_RankBoost_rerank,ndcg10_RankBoost_x,ndcg10_RankNet,ndcg10_RankNet_rerank,ndcg10_RankNet_x,ndcg10_coordinate_ascent,ndcg10_coordinate_ascent_rerank,ndcg10_coordinate_ascent_x,ndcg10_linear_regression,ndcg10_linear_regression_rerank,ndcg10_linear_regression_x,ndcg10_random_forest,ndcg10_random_forest_rerank,ndcg10_random_forest_x,ndcg50_AdaRank,ndcg50_AdaRank_rerank,ndcg50_AdaRank_x,ndcg50_LambdaMART,ndcg50_LambdaMART_rerank,ndcg50_LambdaMART_x,ndcg50_LambdaRank,ndcg50_LambdaRank_rerank,ndcg50_LambdaRank_x,ndcg50_ListNet,ndcg50_ListNet_rerank,ndcg50_ListNet_x,ndcg50_MART,ndcg50_MART_rerank,ndcg50_MART_x,ndcg50_RankBoost,ndcg50_RankBoost_rerank,ndcg50_RankBoost_x,ndcg50_RankNet,ndcg50_RankNet_rerank,ndcg50_RankNet_x,ndcg50_coordinate_ascent,ndcg50_coordinate_ascent_rerank,ndcg50_coordinate_ascent_x,ndcg50_linear_regression,ndcg50_linear_regression_rerank,ndcg50_linear_regression_x,ndcg50_random_forest,ndcg50_random_forest_rerank,ndcg50_random_forest_x
2006,1,Alaska,264.4731833,50,0.250362351,3.722056627,4,0.536718671,0.456557466,6,0.422254772,0.600231038,1,0.873116579,48.99341202,1,0.996728767,3.492705123,33,0.547785836,0.460838309,46,0.714047435,0.03359151,30,0.65131223,50.76983913,2,0.616063756,4.672417186,2,0.967668875,,,,-36673200,45,1,0.441915888,1,,0.442557317,1,0.84533256,48.99341202,1,0.996728767,3.492705123,33,0.547785836,0.527203547,44,0.818401568,0.644109509,7,0.940062459,50.76983913,2,0.616063756,4.688656788,2,0.970155085,,,,28.15403366,1,0.994822018,0.546253749,48,0.435248686,0.428632951,10,0.774274354,48.99341202,1,0.996728767,3.492705123,33,0.547785836,0.449374581,1,0.892827149,0.24440897,49,0.277150994,50.76983913,2,0.616063756,4.671778328,2,0.967123214
2006,2,Nebraska,767.7394499,4,0.952146728,0,44,0.5,0.455414765,37,0.157725727,0.573228065,10,0.790389729,47.98664093,2,0.976251054,5.167903827,2,0.871942051,0.461728745,14,0.868220229,0.07303268,7,0.748010364,36.54855775,8,0.503955639,4.677174092,1,0.968666124,,,,-7001268,39,1,0.441915888,1,,0.3922859,33,0.615784902,47.98664093,2,0.976251054,5.167903827,2,0.871942051,0.529618831,7,0.940470367,0.643787113,8,0.939141547,36.54855775,8,0.503955639,4.735150563,1,0.979879203,,,,25.5342617,2,0.948197948,0.547434525,4,0.708234146,0.428569434,12,0.774034875,47.98664093,2,0.976251054,5.167903827,2,0.871942051,0.442200281,23,0.739044144,0.365585623,3,0.845010309,36.54855775,8,0.503955639,4.675254637,1,0.967852346
2006,3,Alabama,723.2158934,26,0.890060436,8.683005333,2,0.585659206,0.455861992,8,0.261256291,0.568256173,16,0.77515774,46.99723816,3,0.956126611,4.924690301,8,0.824879469,0.461421547,36,0.815030995,0.078609212,4,0.761682377,50.00920716,3,0.6100676,4.581068454,3,0.948518311,,,,23412708,2,1,0.441915888,1,,0.398657046,7,0.644876613,46.99723816,3,0.956126611,4.924690301,8,0.824879469,0.529276547,14,0.923171268,0.604391116,37,0.826608435,50.00920716,3,0.6100676,4.549736207,4,0.941100012,,,,23.71172905,3,0.915762342,0.547257852,22,0.667388958,0.434065269,5,0.794755862,46.99723816,3,0.956126611,4.924690301,8,0.824879469,0.443285325,5,0.762302344,0.315957877,40,0.612444238,50.00920716,3,0.6100676,4.556194305,4,0.942880267
2006,4,South Dakota,781.7762933,3,0.971720537,0.200000003,5,0.501973031,0.45538969,40,0.151920983,0.57376605,9,0.79203791,45.99362183,4,0.935713065,5.616698231,1,0.958785179,0.461803195,5,0.881110808,0.078674434,3,0.761842281,34.40205939,11,0.487034528,4.516889778,4,0.935063742,,,,908075.6875,38,1,0.441915888,1,,0.388276797,40,0.597478668,45.99362183,4,0.935713065,5.616698231,1,0.958785179,0.529805493,3,0.949904297,0.636430916,13,0.918128862,34.40205939,11,0.487034528,4.580926644,3,0.947623455,,,,22.53967285,5,0.894903262,0.547421017,5,0.705111295,0.425927087,20,0.764072413,45.99362183,4,0.935713065,5.616698231,1,0.958785179,0.44249074,16,0.745270216,0.35958674,15,0.816898282,34.40205939,11,0.487034528,4.569162474,3,0.94560025
2006,5,Utah,740.103287,12,0.913609221,50.68343353,1,1,0.455821532,12,0.251890127,0.578122383,4,0.80538406,44.99467087,5,0.915394413,4.998342098,5,0.839131323,0.461756886,9,0.873092634,0.075489825,5,0.754034559,51.05635781,1,0.618322418,4.286188478,7,0.886698977,,,,19702822,5,1,0.441915888,1,,0.396433877,12,0.634725255,44.99467087,5,0.915394413,4.998342098,5,0.839131323,0.529720869,5,0.945627376,0.581788122,45,0.762043874,51.05635781,1,0.618322418,4.312208445,7,0.891421365,,,,21.82719994,7,0.882223385,0.546956151,38,0.59763813,0.437325526,2,0.807048035,44.99467087,5,0.915394413,4.998342098,5,0.839131323,0.443178191,7,0.76000589,0.331754489,35,0.686470491,51.05635781,1,0.618322418,4.278423173,7,0.884619699
2006,6,Tennessee,747.6343949,9,0.924111045,0,44,0.5,0.455621721,21,0.20563497,0.56803719,18,0.774486861,44.01036453,6,0.895373632,4.994204906,6,0.838330764,0.461708099,15,0.864645445,0.07323686,6,0.748510953,39.38109885,7,0.52628491,4.494122516,5,0.93029076,,,,14922473,7,1,0.441915888,1,,0.392015443,34,0.614549947,44.01036453,6,0.895373632,4.994204906,6,0.838330764,0.529754043,4,0.947304008,0.634698251,16,0.913179573,39.38109885,7,0.52628491,4.498771155,5,0.930440733,,,,21.20858955,10,0.871213978,0.547306444,14,0.678622971,0.431662563,8,0.785696921,44.01036453,6,0.895373632,4.994204906,6,0.838330764,0.442544465,15,0.746421827,0.352768186,24,0.784945103,39.38109885,7,0.52628491,4.484190874,5,0.927778047
2006,7,Montana,737.2799031,14,0.909672127,6.102527618,3,0.56020239,0.455444668,31,0.164648107,0.585388619,2,0.827645047,42.99500656,7,0.874721261,4.660484997,16,0.773754912,0.461798572,6,0.880310264,0.068493178,9,0.736880841,44.91736273,4,0.569927962,4.403120559,6,0.911212895,,,,-3.73E+12,48,1,0.441915888,1,,0.397955745,11,0.641674357,42.99500656,7,0.874721261,4.660484997,16,0.773754912,0.529566643,9,0.937832753,0.611834624,33,0.847870523,44.91736273,4,0.569927962,4.386968445,6,0.90705733,,,,22.97132111,4,0.902585304,0.547122803,31,0.636166602,0.434487974,4,0.796349589,42.99500656,7,0.874721261,4.660484997,16,0.773754912,0.443277915,6,0.76214352,0.350174618,27,0.772791097,44.91736273,4,0.569927962,4.391452007,6,0.908326713
2006,8,Nevada,783.0020327,2,0.97342978,0.200000003,5,0.501973031,0.45556974,23,0.193601608,0.569457416,13,0.778837892,41.99338913,8,0.854348372,4.847952189,10,0.810030403,0.461632471,22,0.851551028,0.065207887,10,0.728826274,41.47152298,6,0.542763982,4.013795615,8,0.829593894,,,,-7602469,41,1,0.441915888,1,,0.388962823,38,0.600611176,41.99338913,8,0.854348372,4.847952189,10,0.810030403,0.529575368,8,0.938273732,0.642671779,10,0.93595564,41.47152298,6,0.542763982,4.069975683,8,0.840758673,,,,21.38767624,9,0.874401183,0.547400925,6,0.70046622,0.428432474,13,0.773518492,41.99338913,8,0.854348372,4.847952189,10,0.810030403,0.441890687,28,0.732407903,0.362991612,8,0.832854229,41.47152298,6,0.542763982,4.019757755,8,0.830366422
2006,9,Texas,574.9367,46,0.683291121,0.200000003,5,0.501973031,0.455471816,30,0.170932698,0.538049527,40,0.682616052,40.99891663,9,0.834120812,5.148528565,3,0.868192877,0.462489849,1,1,0.049881209,17,0.691249774,29.88778925,20,0.451447979,3.715120906,11,0.766979023,,,,9556448,29,1,0.441915888,1,,0.420574122,2,0.744953631,40.99891663,9,0.834120812,5.148528565,3,0.868192877,0.530697764,1,0.99499979,0.661747084,1,0.990443496,29.88778925,20,0.451447979,3.718582099,11,0.767265126,,,,17.32374573,18,0.802075429,0.545746048,50,0.317872313,0.468918658,1,0.926163855,40.99891663,9,0.834120812,5.148528565,3,0.868192877,0.446302004,2,0.826965651,0.383686819,1,0.929836327,29.88778925,20,0.451447979,3.655238132,11,0.75391096
2006,10,New Hampshire,798.6124707,1,0.995197902,0,44,0.5,0.455379488,42,0.149559229,0.57119118,11,0.784149488,39.99049759,10,0.813609579,4.825272125,11,0.80564174,0.461610806,24,0.847800004,0.069667455,8,0.739759822,42.61516151,5,0.551779425,3.962009255,9,0.81873728,,,,14993719,6,1,0.441915888,1,,0.388599721,39,0.598953194,39.99049759,10,0.813609579,4.825272125,11,0.80564174,0.529667613,6,0.94293579,0.645460449,6,0.943921367,42.61516151,5,0.551779425,3.969220774,9,0.819685904,,,,21.69792557,8,0.879922689,0.547545202,2,0.733821773,0.42523684,25,0.761469972,39.99049759,10,0.813609579,4.825272125,11,0.80564174,0.442341337,19,0.742067712,0.353745883,23,0.789526796,42.61516151,5,0.551779425,3.896772072,9,0.804571028
